prediction,tweet
0,"I won the debate if you decide without watching the totally one-sided ""spin"" that followed. This despite the really bad microphone."
0,Crooked H is nasty to Sanders supporters behind closed doors. Owned by Wall St and Politicians HRC is not with you. https://t.co/WN1lyCDXla
1,I believe in #AmericaFirst and that means FAMILY FIRST! My childcare plan reflects the needs of modern working-clas https://t.co/RCnZZtTk4c
1,Thank you Novi Michigan! Get out and VOTE #TrumpPence16 on 11/8. Together WE WILL MAKE AMERICA GREAT AGAIN! https://t.co/n7Gd6Xc18H
0,Thank you for your support - on my way now! See you soon. #TrumpTrain https://t.co/SYuRpzosb5
0,Join me in Pueblo Colorado on Monday afternoon at 3pm! #TrumpRallyhttps://t.co/3P3QZxzSPJ
0,For those few people knocking me for tweeting at three o'clock in the morning at least you know I will be there awake to answer the call!
0,Why isn't Hillary 50 points ahead? Maybe it's the email scandal policies that spread ISIS or calling millions of https://t.co/yKz9vCz8O1
1,The people are really smart in cancelling subscriptions to the Dallas &amp; Arizona papers &amp; now USA Today will lose readers! The people get it!
0,"Remember don't believe ""sources said"" by the VERY dishonest media. If they don't name the sources the sources don't exist."
1,Did Crooked Hillary help disgusting (check out sex tape and past) Alicia M become a U.S. citizen so she could use her in the debate?
0,Using Alicia M in the debate as a paragon of virtue just shows that Crooked Hillary suffers from BAD JUDGEMENT! Hillary was set up by a con.
1,"Wow Crooked Hillary was duped and used by my worst Miss U. Hillary floated her as an ""angel"" without checking her past which is terrible!"
0,"Anytime you see a story about me or my campaign saying ""sources said"" DO NOT believe it. There are no sources they are just made up lies!"
1,Wow did you see how badly @CNN (Clinton News Network) is doing in the ratings. With people like @donlemon who could expect any more?
1,While Hillary profits off the rigged system I am fighting for you! Remember the simple phrase: #FollowTheMoney https://t.co/8mVInc82E9
1,Thank you for joining me this afternoon New Hampshire! Will be back soon. #FollowTheMoneySpeech transcript: https://t.co/VtUkDgF4vs
0,Join me in Manheim Pennsylvania on Saturday at 7pm! #TrumpRallyTickets: https://t.co/ADOGW34ctF https://t.co/LNWQZ9yUJy
1,My condolences to those involved in today's horrible accident in NJ and my deepest gratitude to all of the amazing first responders.
0,Will be in Novi Michigan this Friday at 5:00pm. Join the MOVEMENT! Tickets available at: https://t.co/Q6APf0ZFYA https://t.co/6WAyO9eQHN
0,Join me in Bedford New Hampshire- tomorrow at 3:00pm. Can't wait to see everyone! #AmericaFirst #MAGA https://t.co/oeOJFAS7it
0,Thank you Waukesha Wisconsin! Full transcript of my speech #FollowTheMoney:https://t.co/Xb1yyDSNNf https://t.co/WdKK6nJCZW
0,Joining @oreillyfactor from Waukesha Wisconsin - now live! Enjoy!
0,Join me live in Waukesha Wisconsin for an 8pmE rally! #AmericaFirst #MAGAhttps://t.co/G8kGLSFy6S
1,Thank you Council Bluffs Iowa! Will be back soon. Remember- everything you need to know about Hillary -- just https://t.co/45kIHxdX83
1,"RT @TeamTrump: ""She put the office of Sec of State up for sale. If she ever got the chance shed put the Oval Office up for sale too."" #Fo"
0,An honor to meet with the Polish American Congress in Chicago this morning! #ImWithYou Video: https://t.co/lBFHoWRqox
1,Melania and I extend our deepest condolences to the family of Shimon Peres...https://t.co/xeGYL2IzUP
0,Join me in Council Bluffs Iowa- today at 3pm! #MakeAmericaGreatAgain Tickets: https://t.co/iRL3xh37gF
0,Every on-line poll Time Magazine Drudge etc. has me winning the debate. Thank you to Fox &amp; Friends for so reporting!
0,My supporters are the best! $18 million from hard-working people who KNOW what we can be again! Shatter the record: https://t.co/8ZHGyOth0f
0,Unbelievable evening in Melbourne Florida w/ 15000 supporters- and an additional 12000 who could not get in. Tha https://t.co/VU5wh2zXBU
0,Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs Iowa! Tickets: https://t.co/dfzsbICiXc
1,Once again we will have a government of by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe
0,RT @GOP: On National #VoterRegistrationDay make sure you're registered to vote so we can #MakeAmericaGreatAgain https://t.co/GKcaLkx8C8 ht
0,Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: https://t.co/zhkEfUouHH
0,'CNBC Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGAhttps://t.co/PGimqYKPoJ
1,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF
0,In the last 24 hrs. we have raised over $13M from online donations and National Call Day and were still going! Thank you America! #MAGA
1,Well now they're saying that I not only won the NBC Presidential Forum but last night the big debate. Nice!
0,Thank you for your endorsement @GovernorSununu. #MAGA https://t.co/8BEeQPsuyd
1,Such a great honor. Final debate polls are in - and the MOVEMENT wins!#AmericaFirst #MAGA #ImWithYou https://t.co/DV1BKMwHEM
0,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp
0,Thank you! #TrumpWon #MAGA https://t.co/a5rr1i38km
1,Hillary's been failing for 30 years in not getting the job done - it will never change.
1,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm
0,The #1 trend on Twitter right now is #TrumpWon - thank you!
0,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.
0,'How Trump won over a bar full of undecideds and Democrats'https://t.co/WWO39kxn8Y
1,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?
1,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!
1,Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together we will MAKE AMERICA SAFE &amp; GREAT AGAIN https://t.co/39FCnUf8Pb
1,.@DRUDGE_REPORT's First Presidential Debate Poll:Trump: 80%Clinton: 20%Join the MOVEMENT today &amp; lets #MAGA! https://t.co/B12lgC97tn
0,Thank you! CNBC #DebateNight poll with over 400000 votes. Trump 61%Clinton 39%#AmericaFirst #ImWithYou https://t.co/MJ3NwA98op
0,TIME #DebateNight poll - over 800000 votes. Thank you! #AmericaFirst #MAGA https://t.co/bTPX9E0wKu
1,".@newtgingrich just said ""a historic victory for Trump."" NICE!"
1,Wow did great in the debate polls (except for @CNN - which I don't watch). Thank you!
0,Thank you Governor @TerryBranstad! #AmericaFirst #Debates2016 https://t.co/yIeZctdQy8
1,Thank you Governor @Mike_Pence!Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. #AmericaFirst https://t.co/6k7qP9X8nC
0,Thank you Senator @TedCruz!#Debates2016 #MAGA https://t.co/cgO6109USJ
0,.@HillaryClintons Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNighthttps://t.co/qfZTx6aKYs
0,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight
0,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L
1,RT @TeamTrump: .@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate. #Debates20
0,Russia has more warheads than ever N Korea is testing nukes and Iran got a sweetheart deal to keep theirs. Thanks @HillaryClinton.
0,Hillary Clinton failed all over the world. ?LIBYA?SYRIA?IRAN?IRAQ?ASIA PIVOT?RUSSIAN RESET?BENGHAZI https://t.co/OoakXs2rij
1,RT @TeamTrump: 100% TRUE --&gt; @realDonaldTrump is right - @HillaryClinton did call TPP the gold standard #Debates2016 https://t.co/W7L7a9
0,Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://t.co/Um5WJXEEKr
0,.@HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage #DebateNight https://t.co/6EEOAaCiNv
0,RT @TeamTrump: Hillary's policies have made America less safe that's why 200+ general and military leaders have endorsed @realDonaldTrump!
0,RT @DanScavino: Jesse Jackson on @realDonaldTrump - when he donated space for the Rainbow/Push Coalition. #DebateNight https://t.co/JTbqO0
0,I will stand with police and protect ALL Americans! #Debates2016 #MAGA https://t.co/CX4oEWgEMp
1,RT @TeamTrump: When @realDonaldTrump is POTUS families are going to be safe and secure. Law and order will be RESTORED! #MAGA #Debates #De
1,RT @TeamTrump: WATCH: @realDonaldTrump on the stakes in this election #Debates2016 https://t.co/l7DSbPXDGh
0,This is the simple fact about @HillaryClinton: she is a typical politician - all talk no action. #Debates2016
0,HILLARY'S BAD TAX HABIT! https://t.co/x3FBy8Hdq2
0,A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5
1,.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016
1,Instead of driving jobs and wealth away AMERICA will become the world's great magnet for innovation and job creati https://t.co/02NMQn3ZNQ
0,.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016
0,.@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years
0,RT @TeamTrump: A @realDonaldTrump Administration will bring JOBS BACK! #Debates2016 https://t.co/4O3rIyycyW
0,Why isn't Hillary Clinton 50 points ahead?#DebateNight https://t.co/iux7icIkaT
1,RT @DanScavino: Join @realDonaldTrump on his official social media platforms during tonight's debate ~ as @TeamTrump manages rapid response
0,My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!#DebateNight #TrumpPence16
0,RT @KellyannePolls: #Polls showing @realDonaldTrump surging @hillaryclinton #slipping have HER camp on defense/lowering expectations goi
1,New national Bloomberg poll just released - thank you! Join the MOVEMENT: https://t.co/3KWOl2ibaW. #TrumpTrain https://t.co/xDGCwYVK0Q
1,"Really sad news: The great Arnold Palmer the ""King"" has died. There was no-one like him - a true champion! He will be truly missed."
0,Five people killed in Washington State by a Middle Eastern immigrant. Many people died this weekend in Ohio from drug overdoses. N.C. riots!
1,Readout of my meeting with Israeli Prime Minister Benjamin Netanyahu:https://t.co/VHuyE65hgi https://t.co/6KDPrQxSED
0,Looking forward to my meeting with Benjamin Netanyahu in Trump Tower at 10:00 A.M.
1,Bernie Sanders gave Hillary the Dem nomination when he gave up on the e-mails. That issue has only gotten bigger!
1,Many on the team and staff of Bernie Sanders have been treated badly by the Hillary Clinton campaign - and they like Trump on trade a lot!
0,Thank you Roanoke Virginia - this a MOVEMENT - join us today!Sign up: https://t.co/NQEgRxQN2m#AmericaFirst https://t.co/Rz3DkpBQJu
0,If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row perhaps I will put Gennifer Flowers right alongside of him!
0,Will be back in Virginia tonight- for a 6pm rally at the Berglund Center in Roanoke. Join me! Tickets: https://t.co/6pQMSgPWuN
0,@KellyannePolls: Trump is headed for a win says professor who has predicted 30 years of presidential outcomes   https://t.co/68WEMcuHSO
1,The @SenTedCruz endorsement was a wonderful surprise. I greatly appreciate his support! We will have a tremendous victory on November 8th.
1,Today is the day! Knock on doors and make calls with us on National Day of Action! #TrumpTrain #MAGA https://t.co/4iW06ROvsT
0,Crooked Hillary's bad judgement forced her to announce that she would go to Charlotte on Saturday to grandstand. Dem pols said no way dumb!
0,Join me in Roanoke Virginia tomorrow at the Berglund Center- Coliseum ~ 6pm! Tickets available at: https://t.co/bnEE6NX41Z
0,'How Trump Would Stimulate the U.S. Economy'https://t.co/jU3HHglnIu
0,Hillary Clinton just lost every Republican she ever had including Never Trump all farmers &amp; sm. biz by saying shell tax estates at 65%.
1,Tomorrow's the day! Knock on doors and make calls with us on National Day of Action! #TrumpTrain #MAGA https://t.co/05NY0wJHkL
0,RT @dcexaminer: EXCLUSIVE: How Donald Trump's 30 million followers are crashing the Internet https://t.co/hV2z4yrTU7 https://t.co/lWkjmdyQ7Q
1,Spoke with Governor @PatMcCroryNC of North Carolina today. He is doing a tremendous job under tough circumstances.
1,This is more than a campaign- it is a movement. #MakeAmericaGreatAgainSIGN UP TODAY &amp; WE WILL WIN! https://t.co/2XBs5SSRC3
0,Join me in Roanoke Virginia on Saturday evening at 6pm! #MAGAhttps://t.co/uKG55Pznwu
0,Will be on @foxandfriends now.
0,I will be interviewed from Cleveland Ohio on @seanhannity - Tonight at 10:00 P.M. Enjoy!
1,@ThAllenSBoucher: @DiamondandSilk @realDonaldTrump @seanhannity I love those beautiful gals. D + S = Two amazing women!
0,.@YoungDems4Trump  Thank you!
1,Great new polls! Thank you Nevada North Carolina &amp; Ohio. Join the MOVEMENT today &amp; lets #MAGA! https://t.co/Y8Sb8MNyXA
1,Thank you Toledo Ohio! It is so important for you to get out and VOTE on November 8 2016! Lets MAKE AMERICA SAFE https://t.co/MQdp4GgLIE
0,"RT @GMA: WATCH: @IvankaTrump on ""women who work;"" empowering campaign celebrates modern women.  https://t.co/rMFe9o6WcL"
1,Hopefully the violence &amp; unrest in Charlotte will come to an immediate end. To those injured get well soon. We need unity &amp; leadership.
0,The situations in Tulsa and Charlotte are tragic. We must come together to make America safe again.
0,It is a MOVEMENT - not a campaign. Leaving the past behind changing our future. Together we will MAKE AMERICA SAF https://t.co/Lt2L3NKzyi
0,Thank you Kenansville North Carolina! Remember- on November 8th that special interest gravy train is coming to a https://t.co/AysJRMzvKw
0,Thank you High Point NC! I will fight for every neglected part of this nation &amp; I will fight to bring us together https://t.co/DSaUpSptBz
1,Hillary Clinton is taking the day off again she needs the rest. Sleep well Hillary - see you at the debate!
1,Heading to North Carolina for two big rallies. Will be there soon. We will bring jobs back where they belong!
0,Do people notice Hillary is copying my airplane rallies - she puts the plane behind her like I have been doing from the beginning.
0,Thank you Nevada! #AmericaFirst#MakeAmericaGreatAgain https://t.co/3KWOl2ibaW https://t.co/RJqHgq2Rn0
0,Thank you Georgia! #AmericaFirst#MakeAmericaGreatAgain https://t.co/3KWOl2ibaW https://t.co/y01qpON7h7
1,Crooked Hillary has been fighting ISIS or whatever she has been doing for years. Now she has new ideas. It is time for change.
1,Amazing rally in Florida - this is a MOVEMENT! Join us today at https://t.co/3KWOl2ibaW. https://t.co/BF1IqPXNho
1,Together we will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/XhwUGw0v2H
1,I will be interviewed on the @oreillyfactor - tonight from Florida now. Enjoy!
0,Philly FOP Chief On Presidential Endorsement: Clinton Blew The Police Off' https://t.co/ATBY343pS1
1,Hillary Clinton's weakness while she was Secretary of State has emboldened terrorists all over the world..cont: https://t.co/E5BdTiwlur
0,Once again someone we were told is ok turns out to be a terrorist who wants to destroy our country &amp; its people- how did he get thru system?
1,Great job once again by law enforcement! We are proud of them and should embrace them - without them we don't have a country!
1,"@TarukMatuk: @CNN @FoxNews @realDonaldTrump @RogerRice10 Refugees from Syria over 10k plus more coming. Lots young males poorly vetted.,09-19-2016 12:27:28,7601,17980,false,777846568741441536"
0,@AngPiazza: @foxandfriends  @realDonaldTrump he's the ONLY candidate that will keep us safe!
0,Will be on @foxandfriends at 7:02 A.M.  Enjoy.
0,Terrible attacks in NY NJ and MN this weekend. Thinking of victims their families and all Americans! We need to be strong!
0,Under the leadership of Obama &amp; Clinton Americans have experienced more attacks at home than victories abroad. Time to change the playbook!
1,HAPPY BIRTHDAY - to the United States Air Force!! https://t.co/5Gwi1M5R2t
1,RT @KellyannePolls: more media #polls showing @realDonaldTrump ahead in states Pres Obama won twice. https://t.co/EGySAz6Am1
0,I would like to express my warmest regards best wishes and condolences to all of the families and victims of the horrible bombing in NYC.
1,Never met but never liked dopey Robert Gates. Look at the mess the U.S. is in. Always speaks badly of his many bosses including Obama.
1,Heading to Colorado for a big rally. Massive crowd great people! Will be there soon - the polls are looking good.
0,My lawyers want to sue the failing @nytimes so badly for irresponsible intent. I said no (for now) but they are watching. Really disgusting
1,The failing @nytimes has gone nuts that Crooked Hillary is doing so badly. They are willing to say anything has become a laughingstock rag!
1,Crazy Maureen Dowd the wacky columnist for the failing @nytimes pretends she knows me well--wrong!
0,Wacky @NYTimesDowd who hardly knows me makes up things that I never said for her boring interviews and column. A neurotic dope!
0,.@CNN just doesn't get it and that's why their ratings are so low - and getting worse. Boring anti-Trump panelists mostly losers in life!
0,I never met former Defense Secretary Robert Gates. He knows nothing about me. But look at the results under his guidance - a total disaster!
0,Crooked Hillary wants to take your 2nd Amendment rights away. Will guns be taken from her heavily armed Secret Service detail? Maybe not!
0,My thoughts and prayers go out to the @PhillyPolice &amp; @Penn police officers- in Philadelphia. https://t.co/eyC3W1mweY
0,Donald Trumps birther event is the greatest trick hes ever pulledhttps://t.co/zvVQnxeiQ9
1,A very interesting take from @KatiePavlich: https://t.co/XaM9yEYCHL
0,Just arrived in Texas - have been informed two @fortworthpd officers have been shot. My thoughts and prayers are with them.
1,Just leaving Miami for Houston Oklahoma and Colorado. Miami crowd was fantastic!
1,Great parade in The Villages- I love you all. We will #MAGA. Thank you for the incredible support-I will not forget! https://t.co/5qTDijU3hn
0,I am truly honored and grateful for receiving SO much support from our American heroes...https://t.co/S9bvbysiOr https://t.co/JJQncd3zhf
0,I am now going to the brand new Trump International Hotel D.C. for a major statement.
1,Thank you for a great evening - Laconia New Hampshire -- will be back soon! #AmericaFirsthttps://t.co/3KWOl2ibaW https://t.co/QWbYm2lY7B
1,@AK_TWEET: #TheDonald's hair gets the #JimmyFallon treatment on #TheTonightShow #TrumpPence16 https://t.co/0RRPbfIgXH  So true!
1,"@jimmyfallon: Tonight: @realDonaldTrump @normmacdonald a performance by Kiiaraand your funniest #MyTeacherIsWeird tweets. #FallonTonight,09-16-2016 02:37:51,2473,10205,false,776611024996823040"
1,Instead of driving jobs and wealth away AMERICA will become the WORLD'S great magnet for innovation &amp; job creation! https://t.co/cvu20ZQSVJ
0,Will be joining @jimmyfallon on @FallonTonight at 11:35pmE tonight. Enjoy!
1,RT @EricTrump: What a scary statistic! Americans are working harder and making less! We need competent leadership! https://t.co/jcGCbVOf6v
1,I will be interviewed by @jessebwatters on @oreillyfactor tonight at 8pm. Enjoy!
0,Full transcript of economic plan- delivered to the Economic Club of New York. #MAGA https://t.co/xiu9AUiSSD https://t.co/Fsy1diPWjU
0,Thank you @JerryJrFalwell! https://t.co/jzUQxkW4tB
0,Thank you to all of our law enforcement officers - across America! #LESM #MAGA https://t.co/Mcbc2JzhN2 https://t.co/4MTmR8kXVb
1,Thank you for having me! I enjoyed the tour and spending time with everyone. See you soon. #MAGA https://t.co/eNtS7IBPDo
0,Will be on @foxandfriends at 7:00 A.M. Enjoy!
0,@ghfanlovessonny: @realDonaldTrump you have my vote in Pennsylvania. Trump 2016 Thank you!
0,I was never a fan of Colin Powell after his weak understanding of weapons of mass destruction in Iraq = disaster. We can do much better!
0,I will be interviewed on @foxandfriends tomorrow at 7am. Enjoy!
1,Great poll out of Nevada- thank you! See you soon. #MAGA #AmericaFirsthttps://t.co/3KWOl2ibaW https://t.co/27sR3MjjXc
1,Great evening in Canton Ohio-thank you! We are going to MAKE AMERICA GREAT AGAIN! Join us: https://t.co/3KWOl2ibaW https://t.co/4MvwUj9eX9
1,Honor to have been interviewed by the very wonderful @bishopwtjackson in Detroit last week - tune in at 9pmE. Enjoy! https://t.co/9ahPnfhQ5N
0,Thank you Ohio! Just landed in Canton for a rally at the Civic Center. Join me at 7pm: https://t.co/s0XVVNyBKf https://t.co/UtCRxykurW
0,Thank you Florida- can't wait to see you Friday in Miami! Join me:https://t.co/rsx313493u https://t.co/JxsWXz05T9
0,Thank you @ATFD17! #ImWithYouVideo: https://t.co/z9Yg83VTF4
1,Great poll Florida - thank you! #ImWithYou #AmericaFirst https://t.co/6Odle7j1hd
0,Thank you Ohio - see you tonight! https://t.co/0DyHkzzWvj
0,Russia took Crimea during the so-called Obama years. Who wouldn't know this and why does Obama get a free pass?
0,Why isn't President Obama working instead of campaigning for Hillary Clinton?
0,Thank you Rep. @CynthiaLummis!https://t.co/4S4pnx4Q6r https://t.co/PLUKlsPXPR
0,Thank you Rep. @MarshaBlackburn!https://t.co/vxEk0X4ntS https://t.co/9gAk0FWqZ8
0,Thank you @RepReneeEllmers!https://t.co/1DrZpfa6je https://t.co/rzEw8pQhds
1,RT @LouDobbs: Trump outlines new child-care policy proposals via the @FoxNews App @realDonaldTrump seems a candidate of destiny https://t.c
1,CHILD CARE REFORMS THAT WILL MAKE AMERICA GREAT AGAIN!Transcript: https://t.co/rntyxBSb9Jhttps://t.co/5SWmxfVfto https://t.co/j389Quo4bg
1,RT @IvankaTrump: Ivanka penned an Op-Ed that ran in the @WSJ this afternoon read it here. https://t.co/3QE4nRXzLZ @realDonaldTrump https:/
0,#ImWithYou #AmericaFirst https://t.co/Ne4pI7FyU7
0,RT @IvankaTrump: Ivanka is joining @realDonaldTrump to outline an innovative new child care policy to support American families. Tune in to
0,Thank you Clive Iowa!https://t.co/tuZ35BkD9J
1,Join us today! Together we will #MakeAmericaGreatAgain!https://t.co/v40n8RXgti https://t.co/e3KQfBR2K8
1,Heading to Iowa- join me today at noon! #MakeAmericaGreatAgainTickets: https://t.co/TEY6BbCyxt https://t.co/QyR2MDYYbZ
0,Join me in Clive Iowa tomorrow at noon! #AmericaFirst #MAGATickets: https://t.co/TEY6BbCyxt https://t.co/l17uzRPyLs
1,@brimyers813: Saw ur speech on Twitter. U give me hope and optimism. I feel as though I am in the room with u. I pray 4 ur/our success.
0,Just got back from Asheville  North Carolina where we had a massive rally. The spirit of the crowd was unbelievable. Thank you!  #MAGA
0,Stopped by @TrumpDC to thank all of the tremendous men &amp; women for their hard work! https://t.co/oGcJL4N454
0,Will be on @CNBC at @7:22. Enjoy!
0,I will be interviewed on @foxandfriends at 7:00 A.M.
0,#NeverForgethttps://t.co/G5TMAUzy0z
0,The seriously failing @nytimes despite so much winning and poll numbers that will soon put me in first place only writes dishonest hits!
1,Hillary Clinton just had her 47% moment. What a terrible thing she said about so many great Americans!
1,RT @BarackObama: RT if you agree: We need a President who is fighting for all Americans not one who writes off nearly half the country.
0,While Hillary said horrible things about my supporters and while many of her supporters will never vote for me I still respect them all!
0,Really sad that Republicans would allow themselves to be used in a Clinton ad. Lindsey Graham Romney Flake Sass. SUPREME COURT REMEMBER!
1,Wow Hillary Clinton was SO INSULTING to my supporters millions of amazing hard working people. I think it will cost her at the Polls!
1,Will be in Missouri today with Melania for the funeral of a wonderful and truly respected woman Phyllis S!
1,@Stvzbnk: Just Watched @tonyschwartz. Obviously Tony is a Total Whack Job @realDonaldTrump
1,Just returned from Pensacola Florida where the crowd was incredible.
1,I havn't seen @tonyschwartz in many years he hardly knows me. Never liked his style. Super lib Crooked H supporter. Irrelevant dope!
1,Dummy writer @tonyschwartz who wanted to do a second book with me for years (I said no) is now a hostile basket case who feels jilted!
1,Thank you Florida - we are going to MAKE AMERICA GREAT AGAIN! Join us: https://t.co/3KWOl2ibaW. #AmericaFirst https://t.co/vzKtRxzvwv
1,Will be delivering a major speech tonight - live on @oreillyfactor at 8:10pm from Pensacola Florida.
1,Thank you Ohio. Together we will MAKE AMERICA GREAT AGAIN!https://t.co/3KWOl20zMm https://t.co/n026nE4XIp
1,Great honor to be endorsed by popular &amp; successful @gov_gilmore of VA. A state that I very much want to win-THX Jim! https://t.co/x4Y1TAFHvn
1,MAKE AMERICA GREAT AGAIN!#AmericaFirst #ImWithYou https://t.co/JIlNW7myEN
1,Henry McMaster Lt. Governor of South Carolina who endorsed me beat failed @CNN announcer Bakari Sellers so badly. Funny!
0,RT @EricTrump: Join @TeamTrump on Saturday for National Day of Action as we work to #MakeAmericaGreatAgain! https://t.co/hyclkzPoBR https:/
0,Jeff Zucker failed @NBC and he is now failing @CNN.
0,.@CNN is unwatchable. Their news on me is fiction. Theyare a disgrace to the broadcasting industry and an arm of the Clinton campaign.
0,The documentary of me that @CNN just aired is a total waste of time. I don't even know many of the people who spoke about me. A joke!
0,Final poll results from NBC on last nights Commander-in-Chief Forum. Thank you! #ImWithYou #MAGA https://t.co/C5ipaxUN7B
0,It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails &amp; the veteran who said she should be in jail.
0,More poll results from last nights Commander-in-Chief Forum. #AmericaFirst #TrumpTrain https://t.co/FxyBL6fO1h
0,Last nights results - in poll taken by NBC. #AmericaFirst #ImWithYou https://t.co/sCOnny1fl3
1,With Luis Mexico and the United States would have made wonderful deals together - where both Mexico and the US would have benefitted.
1,Mexico has lost a brilliant finance minister and wonderful man who I know is highly respected by President Peña Nieto.
0,Hillary Clinton answered email questions differently last night than she has in the past. She is totally confused. Unfit to serve as #POTUS.
0,Hillary just gave a disastrous news conference on the tarmac to make up for poor performance last night. She's being decimated by the media!
1,RT @DanScavino: Last nights winner was clear &amp; it will be proven time &amp; time again - lets #MAGA!! Lets WIN!! #TrumpTrain https://t.co/sGqp9
0,A rough night for Hillary Clinton  ABC News.
1,Wow reviews are in - THANK YOU!
0,COMING UP @GenFlynn @newtgingrich on @foxandfriends
1,Thank you to @foxandfriends for the nice reviews of last night.
1,Thank you America - great #CommanderInChiefForum polls! https://t.co/Rcu6KaRGCB
1,Thank you to our fantastic veterans. The reviews and polls from almost everyone of my Commander-in-Chief presentation were great. Nice!
0,Thank you Peter - if elected I will think big for our country &amp; never let the American people down! #AmericaFirst https://t.co/6Nwu7EMJ9d
1,Wow - thank you Pensacola FL. See you Friday at 7pm -- join me!https://t.co/JCO7Za78tV https://t.co/LYmpRyY0Hq
0,#AmericaFirst! https://t.co/fQGxwAjXD7
0,'Donald Trump leads Hillary Clinton by 19 points among military veteran voters: poll' #AmericaFirst #MAGAhttps://t.co/5FmxGtLkwt
0,"@adhd_fa:Kudos to @PARISDENNARD for standing up to CNN's attempt to bully you and shout you down for defending @realDonaldTrump #media bias,09-07-2016 04:22:37,5213,16806,false,773375897554526208"
0,I will be interviewed on @oreillyfactor tonight at 11pmE @FoxNews. Enjoy!
0,Thank you North Carolina- get out &amp; #VoteTrump on 11/8/2016!#MakeAmericaGreatAgain https://t.co/HX2LRYs4Vq
1,Great meeting with military spouses in Virginia- joined by @IvankaTrump @LaraLeaTrump @GenFlynn &amp; @MayorRGiuliani. https://t.co/00GNH9nLet
1,Thank you to all of our amazing military families service members and veterans. #ImWithYou https://t.co/RmQJt0Wxcq
1,Join me in Pensacola Florida this Friday at 7pm! #VoteTrump https://t.co/L8Ui56dcrJ https://t.co/0ciDCuoFeO
0,Thank you! #VoteTrump #ImWithYou https://t.co/SCEq9LqTTj
0,Mainstream media never covered Hillarys massive hackingor coughing attack yet it is #1 trending. Whats up?
0,@Ler: Message for undecided voters: Please wake up and vote DonaldTrump now! Trump/Pence very important save our America before too late!
0,Thank you! #AmericaFirst https://t.co/6v4C8ykDVl
1,As a tribute to the late great Phyllis Schlafly I hope everybody can go out and get her latest book THE CONSERVATIVE CASE FOR TRUMP.
0,"China wouldn't provide a red carpet stairway from Air Force One and then Philippines President calls Obama ""the son of a whore."" Terrible!"
1,The truly great Phyllis Schlafly who honored me with her strong endorsement for president has passed away at 92. She was very special!
0,Thank you Ohio! #AmericaFirst https://t.co/p68GAJdhwu
1,Heading to Youngstown Ohio now- some great polls. #AmericaFirst https://t.co/cGwDLSOFUt
0,Thank you American Legion Post 610- for hosting @Mike_Pence &amp; I for a roundtable with labor leaders. #LaborDay #MAGA https://t.co/r0cwJlV38L
0,#LaborDay #AmericaFirstVideo: https://t.co/RNl7cfzkmN https://t.co/ZqRtbV4KRI
0,Can you believe that the Chinese would not give Obama the proper stairway to get off his plane - fight on tarmac! https://t.co/FAldS5zZi5
0,President Obama &amp; Putin fail to reach deal on Syria - so what else is new? Obama is not a natural deal maker. Only makes bad deals!
0,"@OSPREY675: @Miami4Trump I followed you because you are a patriot &amp; support @realDonaldTrump as do I. #MAGA by sticking together.,09-05-2016 03:59:58,3721,13791,false,772645423097995264"
1,@tweak626: I'm at a biker rally in Perry Kansas...and everyone is a @realDonaldTrump fan. Love it.
0,@ronnieclemmons: @ChrisCJackson @TakouiS @realDonaldTrump  Trump now leads her by 2 - get real she will lose big
